DataNo;Date;Time;Millisecond;Urms-1;Urms-2;Urms-3;Urms-SIGMA;Irms-1;Irms-2;Irms-3;Irms-SIGMA;P-1;P-2;P-3;P-SIGMA;FreqU-1;FreqI-1;Q-1;Q-2;Q-3;Q-SIGMA;S-1;S-2;S-3;S-SIGMA;PF-1;PF-2;PF-3;PF-SIGMA;Uthd-1;Uthd-2;Uthd-3;Ithd-1;Ithd-2;Ithd-3;CfU-1;CfU-2;CfU-3;CfI-1;CfI-2;CfI-3;Idc-1;Idc-2;Idc-3;I(k)-1-Total;I(k)-2-Total;I(k)-3-Total;U(k)-1-Total;U(k)-2-Total;U(k)-3-Total;U(k)-1-500
1;2025/08/20;13:54:47;738;191,503 ;191,487 ;191,355 ;191,448 ;0,35097E+03;0,35394E+03;0,35877E+03;0,35456E+03;26,105E+03;26,566E+03;27,019E+03;79,690E+03;32,629 ;32,656 ;61,935E+03;62,352E+03;63,111E+03;187,398E+03;67,212E+03;67,775E+03;68,651E+03;203,639E+03;0,38840 ;0,39197 ;0,39356 ;0,39133 ;73,257 ;71,243 ;72,226 ;21,865 ;21,771 ;21,899 ;2,169 ;2,177 ;2,187 ;1,780 ;1,782 ;1,780 ;0,00019E+03;0,00000E+03;-0,00132E+03;0,35097E+03;0,35470E+03;0,35781E+03;170,843 ;172,963 ;169,417 ;NAN
2;2025/08/20;13:54:48;235;200,554 ;200,460 ;200,310 ;200,442 ;0,35237E+03;0,35530E+03;0,36030E+03;0,35599E+03;28,632E+03;29,111E+03;29,625E+03;87,368E+03;35,131 ;35,150 ;64,609E+03;65,002E+03;65,811E+03;195,422E+03;70,669E+03;71,223E+03;72,171E+03;214,063E+03;0,40516 ;0,40873 ;0,41048 ;0,40814 ;64,895 ;65,279 ;64,552 ;21,318 ;21,392 ;21,320 ;2,084 ;2,077 ;2,077 ;1,767 ;1,759 ;1,765 ;0,00157E+03;-0,00012E+03;0,00001E+03;0,35181E+03;0,35491E+03;0,35846E+03;180,793 ;179,768 ;179,006 ;NAN
3;2025/08/20;13:54:48;737;209,181 ;209,128 ;209,008 ;209,106 ;0,35461E+03;0,35708E+03;0,36208E+03;0,35792E+03;31,292E+03;31,775E+03;32,263E+03;95,330E+03;37,596 ;37,607 ;67,254E+03;67,578E+03;68,456E+03;203,288E+03;74,177E+03;74,675E+03;75,678E+03;224,531E+03;0,42186 ;0,42551 ;0,42633 ;0,42458 ;58,179 ;58,467 ;57,379 ;20,142 ;20,134 ;20,230 ;1,987 ;1,973 ;1,987 ;1,752 ;1,747 ;1,748 ;0,00100E+03;-0,00055E+03;0,00074E+03;0,35263E+03;0,35497E+03;0,36020E+03;188,362 ;188,450 ;188,683 ;NAN
4;2025/08/20;13:54:49;236;217,221 ;217,183 ;217,034 ;217,146 ;0,35665E+03;0,35915E+03;0,36455E+03;0,36012E+03;34,024E+03;34,497E+03;35,088E+03;103,609E+03;40,096 ;40,049 ;69,601E+03;69,958E+03;70,914E+03;210,473E+03;77,472E+03;78,001E+03;79,120E+03;234,593E+03;0,43918 ;0,44226 ;0,44348 ;0,44166 ;51,434 ;51,610 ;51,062 ;18,700 ;18,550 ;18,907 ;1,880 ;1,885 ;1,881 ;1,762 ;1,759 ;1,747 ;-0,00159E+03;0,00199E+03;0,00021E+03;0,35445E+03;0,35826E+03;0,36366E+03;197,402 ;196,060 ;197,635 ;NAN
5;2025/08/20;13:54:49;736;225,422 ;225,323 ;225,188 ;225,311 ;0,35831E+03;0,36113E+03;0,36645E+03;0,36197E+03;36,856E+03;37,420E+03;38,059E+03;112,335E+03;42,570 ;42,589 ;71,874E+03;72,257E+03;73,221E+03;217,351E+03;80,772E+03;81,372E+03;82,521E+03;244,665E+03;0,45629 ;0,45987 ;0,46120 ;0,45914 ;46,447 ;45,837 ;45,643 ;17,417 ;17,270 ;17,287 ;1,779 ;1,789 ;1,792 ;1,743 ;1,736 ;1,747 ;0,00050E+03;-0,00128E+03;-0,00016E+03;0,35380E+03;0,35795E+03;0,36413E+03;206,076 ;205,728 ;206,169 ;NAN
6;2025/08/20;13:54:50;236;233,089 ;232,973 ;232,842 ;232,968 ;0,36196E+03;0,36438E+03;0,37002E+03;0,36545E+03;40,217E+03;40,749E+03;41,438E+03;122,404E+03;45,068 ;45,077 ;74,166E+03;74,472E+03;75,536E+03;224,174E+03;84,368E+03;84,891E+03;86,156E+03;255,415E+03;0,47669 ;0,48001 ;0,48096 ;0,47923 ;40,924 ;40,949 ;41,020 ;15,583 ;15,534 ;15,609 ;1,704 ;1,697 ;1,703 ;1,743 ;1,732 ;1,733 ;0,00052E+03;-0,00038E+03;0,00051E+03;0,35899E+03;0,36188E+03;0,36728E+03;215,753 ;216,117 ;215,747 ;NAN
7;2025/08/20;13:54:50;738;240,651 ;240,529 ;240,383 ;240,521 ;0,36211E+03;0,36433E+03;0,36969E+03;0,36538E+03;43,197E+03;43,846E+03;44,430E+03;131,473E+03;47,543 ;47,571 ;75,683E+03;75,874E+03;76,962E+03;228,518E+03;87,143E+03;87,632E+03;88,866E+03;263,641E+03;0,49570 ;0,50035 ;0,49997 ;0,49868 ;37,455 ;37,601 ;37,421 ;14,291 ;14,227 ;14,322 ;1,634 ;1,639 ;1,630 ;1,746 ;1,746 ;1,735 ;-0,00026E+03;0,00088E+03;-0,00006E+03;0,36325E+03;0,36469E+03;0,36960E+03;226,020 ;225,956 ;225,963 ;NAN
8;2025/08/20;13:54:51;237;242,890 ;242,853 ;242,746 ;242,830 ;0,31173E+03;0,31137E+03;0,31908E+03;0,31406E+03;46,072E+03;45,997E+03;46,944E+03;139,012E+03;49,998 ;50,058 ;60,086E+03;60,018E+03;61,609E+03;181,713E+03;75,716E+03;75,617E+03;77,456E+03;228,789E+03;0,60848 ;0,60829 ;0,60607 ;0,60760 ;37,370 ;37,524 ;37,146 ;14,060 ;14,189 ;14,232 ;1,603 ;1,594 ;1,615 ;1,827 ;1,823 ;1,800 ;0,00137E+03;-0,00093E+03;0,00000E+03;0,34021E+03;0,33843E+03;0,34289E+03;237,030 ;236,030 ;236,714 ;NAN
9;2025/08/20;13:54:51;734;241,805 ;241,720 ;241,530 ;241,685 ;0,29509E+03;0,29778E+03;0,29979E+03;0,29755E+03;48,615E+03;49,618E+03;49,826E+03;148,060E+03;52,462 ;52,504 ;52,231E+03;52,145E+03;52,539E+03;156,915E+03;71,355E+03;71,980E+03;72,409E+03;215,743E+03;0,68132 ;0,68933 ;0,68813 ;0,68628 ;37,654 ;38,210 ;38,302 ;16,473 ;16,851 ;16,958 ;1,598 ;1,590 ;1,606 ;1,678 ;1,705 ;1,683 ;0,00006E+03;0,00119E+03;-0,00038E+03;0,30595E+03;0,30155E+03;0,30504E+03;235,772 ;236,498 ;234,718 ;NAN
10;2025/08/20;13:54:52;235;240,764 ;240,701 ;240,578 ;240,681 ;0,29959E+03;0,30107E+03;0,30611E+03;0,30226E+03;52,124E+03;52,556E+03;53,363E+03;158,043E+03;54,967 ;55,005 ;49,859E+03;49,893E+03;50,753E+03;150,505E+03;72,131E+03;72,467E+03;73,644E+03;218,242E+03;0,72263 ;0,72524 ;0,72461 ;0,72417 ;38,997 ;38,950 ;38,918 ;18,449 ;18,201 ;17,917 ;1,598 ;1,598 ;1,590 ;1,697 ;1,725 ;1,737 ;0,00045E+03;0,00036E+03;0,00000E+03;0,29088E+03;0,29547E+03;0,30796E+03;235,293 ;235,117 ;234,967 ;NAN
